address,category
0xc8ac47854a3fed2b444beb83f4c95ba092a3a735,Phishing
0x86e00684ea92cb87f40d74c5ebde97ef9a17753e,Phishing
0xc4625787be3fccff6ac2971945806acc167c8cbd,Phishing
0xb8689c29bdc7c84f33706ff0f96eafc222ba6d86,Phishing
0xe74b02131ed2184eb94fd357b4f303e6935367f5,Phishing
0x18f3489d959fd0e3fac366646e08f9aeabea4d75,Phishing
0x1e12436889e2459202437077549e35b56f1299cb,Phishing
0x878cce43a3b9d8a872a33d2d6ccd561e033707f4,Phishing
0x24aa18952e80707dad3ab4c9c97e787f2af337ca,Phishing
0x2f141d0cd81011436df8fa04bdac01cb6cf51a65,Phishing
0x4fafc9291a0112a0ee0928361c02848ff2fdf6bd,Phishing
0xfb1a7ccf5bcd436dcc0acb49ba1fb9f57bb4d064,Phishing
0xbc210ec2efada9df4897dc9b23c58e96c01ef711,Phishing
0xd77b95800f67deb52e0e0988dbf01a311a3ccd80,Phishing
0x39d7c7acec5bb282a4fb6e998d3d0099ff7780cf,Phishing
0xc5f6690f7b60fe739908e02aec46ae07718cec5f,Phishing
0x3715b1ed9bbd5e165af97619b5c5e13e39f55504,Scamming
0xb177fc9a7caaa9c50d82c5d2533750f1d72aac86,Phishing
0xf2dcfa51f83e41c0e988477f939c7a5e5b9a6905,Phishing
0x1363077895b20ae90f80794ce4e575559517d033,Scamming
0xf23f9dda63ed0628609272dc0544c7a2f7189f51,Scamming
0x38b7ca3b78c51364095bc56146d25f55aee0af21,Phishing
0xb82bfd79d5a8c0cc0d4c045633288b48a2beddcb,Scamming
0xd79eb898431ea62636f08f738d10eb00446403de,Scamming
0x3007a0db9caad557cf4589cfd550c21ce9399b15,Scamming
0xfddbfa1b0b93612b95e3296690b63b74d019370c,Scamming
0x0755e59d505c9b473aec50b476df3ea2045739aa,Scamming
0x1ccc9b2769741ab0e1620721df7cf8ff1d70716b,Scamming
0x915c95415d3449212fd0991ccf5eb42864118ec9,Scamming
0xd43f2111e4055120196285ec094aa6e96998668b,Scamming
0x0dea8a35f4e39cdf65d3cc11f10612e9e0278b60,Scamming
0x2b5268fde5041f6b1afd77166de4e9ea5d9e967a,Scamming
0xd0b473271e9d38dfd11925d62ef8c0a2cf033a9c,Scamming
0x23d56797f64640e96feaf57b7874c897b53ef0e4,Scamming
0x508e1101755a4a6ae228b0e18002a816ce3418ce,Scamming
0x0a9f58ee19a7131ed031ea66a032c05c7efe965a,Scamming
0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,Scamming
0x1e3c07ce10973fcaebc81468af1d3f390d2a4c71,Scamming
0xaf313b5cf52d7a2ad7785d008660ab68421db2d1,Phishing
0x693d47204555361d4d51311f97102a1507559802,Scamming
0xc7308d5a7220dc021ccf417445cb28cbb8fece66,Phishing
0xb65db9f684f3bfa45ad3fb4cdc4120618ad81f00,Scamming
0xd33441a44da0c1dcee596abb7ebdcdba77c7ddbd,Scamming
0xd868a76a1dcc34854903376e734e3cfe461dd08c,Scamming
0xa7ce02b8195fe8e3116a7e1248f2725eaac86fec,Scamming
0x0153775362c3071c1860e8dbfd53ccc82fa226f5,Phishing
0x6642cec9d02e4e669103a3ed4f3505f437b8fe73,Phishing
0x34eea3e741f9a3e77fb34e0793b1af36edc2b0ae,Scamming
0x69f8e87518129498da751f26ea2309db05e7270b,Scamming
0x13369b4654cb11d0d3b31abff0a2d74a78485ac6,Scamming
0x6067a95e7bb071a5b73741628a0a5cb5cc164203,Scamming
0x85e150d832942b10383b6d83211224c1ef37fad8,Scamming
0x3219ebdcbc9f79f59c8c53105f3e74e0289f3ea9,Scamming
0x40949225c4a1745a9946f6aaf763241c082cb9ac,Scamming
0x3385d7af59359a63b411e84390de380e90afa7dc,Scamming
0xbe969917962ef564f936a3f93dd4cfb315ec41ee,Scamming
0x6de5f0c142daf2eab3c0d3751f3be6af5f359795,Scamming
0xc3853f32675aebf17ff15e7fb0d2bfc7eb4cf11b,Scamming
0x1f6f1723d0db4e9783b7171392b6fa9ae1062fd9,Scamming
0xb2b8d4337ade6f8e6da4954844b05b9a1aa9358a,Phishing
0xaa90ae1b969bc96e82c80e834b5f739e335b7e47,Scamming
0x4c7e065915f3b1461248da453dae0609253e15f1,Scamming
0x98c29afea6f69b59ad1790ce2e0effc0bd38433f,Scamming
0xa7fa566ef4f221737a7c89c3600f1e456c7d6604,Phishing
0x47fea7bb88beca144e82ce96a20a25a0974ba6ba,Scamming
0x83885fc61837b4a9e0960be80da2f2bc581ecbc6,Scamming
0x078c2b3b09528fd7b80c9ee715f378d382f9139b,Scamming
0x5bf2df6ebcf90665d513c761ce5e516d99ae748a,Scamming
0x4dbef9b86bb3174312d1377b2623db2a9caa5137,Scamming
0x97b20481241fe3cb9cc9ba50609d377b2506cdaa,Scamming
